"id","name","origin","move_id"
315256,"DO1208W0060-ST","BP 18/08/2012",379426
315257,"DO1208W0061-ST","GR 19/08/2012",379427
315830,"DO1208W0062-ST","GR 20/08/2012",379438
315833,"DO1208W0063-ST","แม่บ้าน 20/08/2012",379439
315834,"DO1208W0064-ST","อะไหล่ 20/08/2012",379440
315839,"DO1208W0065-ST","BP 20/08/2012",379441
315857,"DO1208W0066-ST","PDI 20/08/2012",379442
315874,"DO1208W0067-ST","BP 06/08/2012",379443
316443,"DO1208W0068-ST","GR 21/08/2012",379463
316568,"DO1208W0069-ST","FRGR 21/08/2012",379464
316572,"DO1208W0070-ST","ล้างรถ 21/08/2012",379465
316575,"DO1208W0071-ST","BP 21/08/2012",379466
316961,"DO1208W0072-ST","GR 22/08/2012",379481
316962,"DO1208W0073-ST","อะไหล่ 22/08/2012",379482
316963,"DO1208W0074-ST","FRGR 22/08/2012",379483
316964,"DO1208W0075-ST","BP 22/08/55",379484
317907,"DO1208W0076-ST","GR 23/08/2012",379495
317908,"DO1208W0077-ST","FRBP 23/08/2012",379496
317909,"DO1208W0078-ST","BP 23/08/2012",379497
321278,"DO1208W0079-ST","GR 24/08/2012",379526
321312,"DO1208W0080-ST","FRGR 24/08/2012",379527
321320,"DO1208W0081-ST","ล้างรถ 24/08/2012",379528
321326,"DO1208W0082-ST","FRBP 24/08/2012",379529
321341,"DO1208W0083-ST","BP 24/08/2012",379530
321359,"DO1208W0084-ST","PDI 24/08/2012",379531
322441,"DO1208W0085-ST","GR 25/08/2012",379555
322445,"DO1208W0086-ST","GR 25/08/2012",379554
322446,"DO1208W0087-ST","อะไหล่ 25/08/2012",379556
322448,"DO1208W0088-ST","BP 25/08/2012",379557
322449,"DO1208W0089-ST","PDI 25/08/2012",379558
322450,"DO1208W0090-ST","GR 26/08/2012",379559
322703,"DO1208W0091-ST","GR 27/08/2012",379575
324987,"DO1208W0092-ST","BP 27/08/2012",379576
324988,"DO1208W0093-ST","PDI 27/08/2012",379577
326852,"DO1208W0094-ST","GR 28/08/2012",379603
326853,"DO1208W0095-ST","BP 28/08/2012",379604
328712,"DO1208W0096-ST","GR 29/08/2012",379632
328713,"DO1208W0097-ST","ล้างรถ 29/8/2012",379633
328714,"DO1208W0098-ST","อะไหล่ 29/08/2012",379634
328717,"DO1208W0100-ST","BP 29/08/2012",379635
330778,"DO1208W0101-ST","FRGR 30/08/2012",379668
330779,"DO1208W0102-ST","FRBP 30/08/2012",379669
330780,"DO1208W0103-ST","GR 30/08/2012",379670
330781,"DO1208W0104-ST","BP 30/08/2012",379671
294763,"DO1208X0002-ST","",377741
299007,"DO1208X0004-ST","",377742
299008,"DO1208X0005-ST","",377743
299009,"DO1208X0006-ST","",377744
299010,"DO1208X0007-ST","",377745
299011,"DO1208X0008-ST","",377746
299012,"DO1208X0009-ST","",377747
299013,"DO1208X0010-ST","",377748
299014,"DO1208X0011-ST","",377750
299015,"DO1208X0012-ST","",377749
304788,"DO1208X0014-ST","",377788
304810,"DO1208X0015-ST","",377790
304824,"DO1208X0016-ST","",377791
304831,"DO1208X0017-ST","",377792
304839,"DO1208X0018-ST","",377793
304847,"DO1208X0019-ST","",377794
304854,"DO1208X0020-ST","",377795
304865,"DO1208X0021-ST","",377796
305946,"DO1208X0022-ST","",377816
305950,"DO1208X0023-ST","",377817
307851,"DO1208X0024-ST","",377823
307854,"DO1208X0025-ST","",377824
308648,"DO1208X0026-ST","",377831
308653,"DO1208X0027-ST","",377832
309802,"DO1208X0028-ST","",377869
309804,"DO1208X0029-ST","",377845
309807,"DO1208X0030-ST","",377846
310667,"DO1208X0031-ST","",377853
310668,"DO1208X0032-ST","",377854
